Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Group Area ID,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
MART,Royal Mart,,016 86 46 46,PP,PP,,,CAMBODIA,,,,,,,,
STORE,Superstore,,023 666 15 16,PP,PP,,,CAMBODIA,,,,,,,,
MART,Street Mart,,081 233 445,PP,PP,,,CAMBODIA,,,,,,,,
MART,Aliment Mart ,,010 757 644,PP,PP,,,CAMBODIA,,,,,,,,
MART,Natural Garden TK,,023 555 20 28,PP,PP,,,CAMBODIA,,,,,,,,
MART,Natural Garden BKK,,023 555 20 28,PP,PP,,,CAMBODIA,,,,,,,,
MART,Olympic Mart,,096 811 91 15,PP,PP,,,CAMBODIA,,,,,,,,
STORE,Killing Field,,,PP,PP,,,CAMBODIA,,,,,,,,
MART,Mr. Mart,,070 427 266,PP,PP,,,CAMBODIA,,,,,,,,
