Code,Name,Parent Category Code,Image name
បង្កង,បង្កង,FRW01,no_image.png
មឹក,មឹក,FRW01,no_image.png
ត្រី,ត្រី,FRW01,no_image.png
សាច់គោ,សាច់គោ,FRW01,no_image.png
ទា,ទា,FRW01,no_image.png
សាច់ជ្រូក,សាច់ជ្រូក,FRW01,no_image.png
មាន់,មាន់,FRW01,no_image.png
